Week/month,order_count,f,t,,,,
8-w1,373,351.3201058,1,,,,
8-w2,375,387.7521879,2,,,,
8-w3,514,521.8058261,3,,,,
8-w4,649,658.1236198,4,,,,
9-w1,630,593.3824844,5,,,,
9-w2,450,465.3026254,6,,,,
9-w3,500,507.593216,7,,,,
9-w4,700,709.8405761,8,,,,
10-w1,520,489.7760189,9,,,,
10-w2,537,555.261133,10,,,,
10-w3,410,416.2264371,11,,,,
10-w4,159,161.2352166,12,,,,
11-w1,461.6137328,434.7833391,13,,,,
11-w2,415.2627425,429.3840986,14,,,,
11-w3,417.5970298,423.9388387,15,,,,
11-w4,412.6460051,418.4469686,16,,,,
